ranks,duration_quartz,br_ins,ld_ins,sr_ins,tot_ins,l1_ldm,l1_stm,l2_ldm,l2_stm,fp_single,fp_double,arith,io bytes read,io bytes written,mem_wcy,relative_runtime
32,0.0666,0,0,0,2000000,,,,,0,88.5625,28708.65625,69839.03125,2106166.688,0,2
32,0.0666,0,0,0,2000000,,,,,0,68.40625,25731.65625,69871.03125,2106167.688,0,1.332
32,0.0666,0,0,0,2000000,,,,,0,78.65625,26210.8125,69872,2106167.719,0,2
32,0.0666,56625000,83937500,28687500,252812500,1125000,0,0,0,733.3125,2699002.969,5520352.063,65449.96875,2105918.469,4750000,0.016048193
32,0.0833,171937500,344937500,76437500,891687500,5187500,1875000,687500,0,655.4375,21335950.34,16778129.88,63237.5625,2105784.781,24000000,0.014280082
32,0.0666,42187500,53062500,23125000,175937500,0,0,0,0,715.28125,333486.6563,3787210.031,67660.53125,2106052.031,2562500,0.019398247
1,0.0333,467527777.8,683611111.1,65611111.11,1677750000,2555555.556,83333.33333,27777.77778,0,50.40277778,7265737.347,6242837.292,525.0555556,30141.79167,20972222.22,0.5
32,0.0833,419437500,711312500,232437500,2009812500,21250000,8625000,2937500,937500,904.4375,31394365.38,56694203.09,67661.5,2106052.125,63687500,0.001628015
32,0.1333,1386250000,3234937500,595812500,7827000000,79250000,29875000,21687500,4875000,763.25,231104012,170910051.6,63267.4375,2105785.719,319250000,0.002757933
32,0.0833,293187500,385000000,174625000,1227000000,7187500,4562500,312500,437500,835,4267426.406,32171258.41,65479.96875,2105919.406,32000000,0.001883197

